Easting (m),Northing (m)
5196.200607987586,180.66194903384894
5040.266633818159,462.2999958842993
4979.092064164113,571.615419740323
4975.002973339171,592.0884542609565
4977.544637499726,613.3589554587379
4985.228065058589,629.8849528688006
4997.348592822324,641.9963033315726
5016.0056484275265,653.02226368431
5037.40202804748,656.4164550383575
5057.6158338430105,652.8301171949133
5212.608502638992,559.9996950305067
5227.396692749695,555.9523194008507
5246.897054019733,555.3538161651231
5269.2877299152315,561.9631812623702
5287.321781262872,578.8566012564115
5297.611618265277,597.2741766306572
5300.061263019219,615.8866912140511
5296.0895392854,749.9786793217063
5298.238765973016,768.2579621071927
5303.7132439919515,784.0014990591444
5311.099533666158,799.0870773154311
5321.710932213464,811.5258393082768
5541.488976647728,1055.4561270615086
5553.616158473538,1065.3532365583815
5572.392291944358,1070.621948568616
5590.4777303098235,1072.123189599719
5608.885814950569,1067.4241422046907
5623.286297596642,1059.0570465177298
5689.026174404426,997.0458124759607
5696.407871715608,983.893023731187
5699.786121840822,965.8540227087215
5699.136322085862,950.1267913994379
5694.766776351607,934.7190723866224
5685.266269290005,920.8441845932975
5542.4819855404785,763.7717000837438
5536.289547476219,752.3444561422803
5535.92974544107,739.9404115853831
5539.283708265517,728.9886211613193
5546.3465430594515,720.9286837945692
5556.720758915413,714.4303781334311
5570.998823211412,712.5964349084534
5580.938969612704,715.5095237446949
5593.884058988537,721.4228262435645
5843.8993697534315,821.9427806390449
5860.275417709257,823.7707411483862
5880.486556585995,820.960813882295
5897.497918108362,813.3781389798969
5910.8100350028835,800.135073820129
5919.008632940939,783.330804112833
5922.281783101382,766.731110334862
5922.030446116347,752.1126304077916
5917.254127187771,738.1430564443581
5907.0581517471,721.9400960276835
5898.54261722113,713.9376332699321
5879.099023837713,698.0351908393204
5857.475022635423,673.155404211022
5839.46950431366,648.1773126954213
5824.484766695648,621.5485012466088
5812.430175178917,590.3894227044657
5805.568084684201,569.1039470387623
5798.258406143752,531.7597198463045
5792.081611871254,515.7920939805917
5781.474192330497,502.2455787034705
5770.045653787209,493.67953938711435
5754.69167323201,486.7611776739359
5612.492136184941,451.8356874869205
5600.054230591981,444.4844895163551
5590.534778323956,436.03585306880996
5585.05444786069,422.0640128343366
5582.889324121759,408.5464266948402
5585.471415498643,388.179169641342
5601.018187717651,368.077570410911
5627.643094270956,341.4801350547932
5668.655433823937,310.61301120882854
5711.453650248586,286.61795597104356
5754.925663613365,271.3737545181066
5798.376553205075,262.33102889498696
5840.8034546745475,258.8219074672088
5887.12247382733,263.4102466381155
6099.716572070145,287.61775438068435
6119.229218664346,283.5876327864826
6141.779645124916,273.0343844066374
6159.112475005095,259.9161654319614
6175.369937842712,238.04583765286952
6225.034695327282,146.9679705966264
6229.109376624576,131.25703964568675
6229.158727201633,116.97181663569063
6226.999169047456,102.01452619908378
6216.81300628942,82.9321520361118
6140.648651799536,-40.25147556094453
6131.031343791401,-49.47600486129522
6116.781382799265,-56.058745244983584
6102.0216074008495,-60.53917706105858
6082.117864759406,-59.832552660256624
5837.40790091618,-11.615398375783116
5820.019658066332,-11.674945260863751
5802.749360138318,-16.828078270424157
5788.108984265709,-26.844724132679403
5777.799997751019,-39.61502254754305
5608.657905252068,-369.5313485558145
5595.0417408917565,-385.3027234515175
5579.5951928023715,-394.87891535880044
5557.193249357399,-398.6095815328881
5540.200155703467,-396.7848423575051
5523.591793082887,-389.8647650834173
5506.655930483015,-375.30476892273873
5196.200607987586,180.66194903384894
